trace,run,timestamp_s,gpu_device_util_percent,gpu_in_use_sys_mem_mb
native_mb_02min,1,0.001729,26.0,174.0
native_mb_02min,1,1.0233970000000001,42.0,139.578125
native_mb_02min,1,2.0287640000000002,4.0,78.828125
native_mb_02min,1,3.0377370000000004,13.0,135.78125
native_mb_02min,1,4.049468,53.0,265.625
native_mb_02min,1,5.057712,55.0,260.390625
native_mb_02min,1,6.069916,55.0,260.390625
native_mb_02min,1,7.0812100000000004,54.0,260.390625
native_mb_02min,1,8.088447,54.0,260.515625
native_mb_02min,1,9.098495,53.0,260.5
native_mb_02min,1,10.107734,53.0,260.515625
native_mb_02min,1,11.110839,53.0,260.75
native_mb_02min,1,12.117280000000001,53.0,260.390625
native_mb_02min,1,13.122256,53.0,260.5
native_mb_02min,1,14.128710000000002,53.0,260.5
native_mb_02min,1,15.135250000000001,54.0,260.515625
native_mb_02min,1,16.142846000000002,53.0,260.515625
native_mb_02min,1,17.149089,53.0,260.515625
native_mb_02min,1,18.159361,53.0,260.515625
native_mb_02min,1,19.168802,53.0,260.515625
native_mb_02min,1,20.175748000000002,53.0,260.515625
native_mb_02min,1,21.178424,53.0,260.515625
native_mb_02min,1,22.186437,53.0,260.5
native_mb_02min,1,23.193496,53.0,260.5
native_mb_02min,1,24.197749,53.0,260.625
native_mb_02min,1,25.205981,53.0,260.640625
native_mb_02min,1,26.209201,53.0,260.5
native_mb_02min,1,27.216509000000002,54.0,260.515625
native_mb_02min,1,28.223538,54.0,260.5
native_mb_02min,1,29.229332000000003,54.0,260.5
native_mb_02min,1,30.233610000000002,53.0,260.5
native_mb_02min,1,31.237416000000003,54.0,260.5
native_mb_02min,1,32.244059,53.0,260.5
native_mb_02min,1,33.251021,53.0,260.5
native_mb_02min,1,34.261757,53.0,260.515625
native_mb_02min,1,35.269742,53.0,260.515625
native_mb_02min,1,36.276,53.0,260.390625
native_mb_02min,1,37.278505,54.0,260.75
native_mb_02min,1,38.284837,53.0,260.390625
native_mb_02min,1,39.291743000000004,54.0,260.515625
native_mb_02min,1,40.297804,53.0,260.515625
native_mb_02min,1,41.302887000000005,52.0,282.453125
native_mb_02min,1,42.308097000000004,53.0,260.390625
native_mb_02min,1,43.311564000000004,53.0,260.515625
native_mb_02min,1,44.313969,53.0,260.5
native_mb_02min,1,45.321941,53.0,260.515625
native_mb_02min,1,46.332082,53.0,260.5
native_mb_02min,1,47.336789,47.0,260.546875
native_mb_02min,1,48.339033,42.0,255.734375
native_mb_02min,1,49.346916,37.0,295.1875
native_mb_02min,1,50.352506000000005,39.0,257.0625
native_mb_02min,1,51.361304000000004,38.0,253.046875
native_mb_02min,1,52.370393,45.0,256.828125
native_mb_02min,1,53.375216,50.0,256.828125
native_mb_02min,1,54.384438,43.0,256.8125
native_mb_02min,1,55.387826000000004,45.0,252.84375
native_mb_02min,1,56.395105,46.0,256.8125
native_mb_02min,1,57.402787000000004,63.0,256.8125
native_mb_02min,1,58.407042000000004,64.0,256.8125
native_mb_02min,1,59.416940000000004,56.0,252.859375
native_mb_02min,1,60.421811000000005,49.0,256.84375
native_mb_02min,1,61.431360000000005,49.0,256.8125
native_mb_02min,1,62.433682000000005,57.0,256.828125
native_mb_02min,1,63.439872,53.0,253.109375
native_mb_02min,1,64.44831500000001,49.0,256.828125
native_mb_02min,1,65.455659,47.0,256.8125
native_mb_02min,1,66.46042800000001,42.0,256.828125
native_mb_02min,1,67.467479,43.0,252.859375
native_mb_02min,1,68.47572100000001,45.0,256.828125
